customer_key,customer_id,customer_name,area,customer_segment,registration_date
1,31813,Indrajit Pau,Sultan Pur Majra,Regular,Apr-24
2,31826,Ekiya Pau,Chinsurah,New,Nov-23
3,61020,Onkar Suresh,Kurnool,New,Jul-24
4,75482,Jeet Gandhi,Korba,Regular,Sep-24
5,119099,Zansi Parsa,Kavali,Inactive,Aug-23
6,188838,Idika Basu,Madanapalle,Inactive,Jul-24
7,191616,Brijesh Tata,Pallavaram,Regular,Apr-23
8,211163,Hiral Baral,Satna,Regular,Jun-24
9,243838,Sudiksha Nagar,Visakhapatnam,New,May-24
10,376144,Ira Chhabra,Anantapuram,Regular,Dec-23
11,408590,Januja Zachariah,Jorhat,Regular,Mar-24
12,469006,Shivansh Loyal,Begusarai,Inactive,Aug-23
13,625395,Leena Loyal,Siliguri,Premium,Mar-24
14,644189,Tanay Sahni,Bhopal,Premium,Dec-23
15,666589,Kevin Bassi,Morbi,Regular,Jul-23
16,701493,Ekaraj Saini,Shahjahanpur,Inactive,Feb-24
17,767523,Maya Khosla,Vasai-Virar,Inactive,May-23
18,773410,Ladli Saha,Kota,New,Jun-23
19,820740,Mekhala Sathe,Ambala,Premium,Nov-23
20,894128,Chatura Agarwal,Durgapur,Inactive,Jul-23
21,899941,Lopa Venkataraman,Sambhal,Premium,Jun-24
22,949062,Jackson Karpe,Mau,Inactive,Oct-23
23,954629,Fiyaz Mand,Begusarai,New,Feb-24
24,966247,Jeevika Deo,Junagadh,Inactive,Nov-23
25,1060685,Yadavi Rajagopalan,Mango,Inactive,Mar-24
26,1108176,Charita Chad,Bhalswa Jahangir Pur,Premium,Jul-23
27,1134585,Bhavani Rau,Ghaziabad,Regular,Feb-24
28,1152215,Yachana Pathak,Dhanbad,Inactive,May-24
29,1174162,Anirudh Vig,Guna,Premium,Jul-23
30,1200365,Avni Mistry,Thane,Regular,Jun-23
31,1301661,Yashvi Parekh,Saharanpur,Inactive,Dec-23
32,1313292,Robert Kaur,Korba,Inactive,Mar-24
33,1342184,Girish Sem,Dehradun,Inactive,Oct-24
34,1449273,Forum Deol,Pondicherry,New,Dec-23
35,1469696,Gaurangi Banerjee,Jalna,Premium,Jun-23
36,1479065,Keya Grover,Bokaro,New,Feb-24
37,1491857,Naveen Balakrishnan,Morena,Premium,Jun-24
38,1497747,Nachiket Kalla,Sangli-Miraj & Kupwad,Inactive,Apr-24
39,1507408,Kai Gara,Bangalore,Inactive,Mar-24
40,1529180,Darsh Gokhale,Bareilly,Inactive,Jun-24
41,1562083,Madhavi Mishra,Bhopal,Premium,Jan-24
42,1588560,Jeremiah Nath,Anantapuram,New,Dec-23
43,1589656,Xiti Prabhu,Gorakhpur,Premium,May-24
44,1601161,Chanchal Thakur,Amaravati,Inactive,May-24
45,1603358,Samaksh Randhawa,Gandhinagar,Inactive,Jun-24
46,1624115,Saksham Atwal,Kochi,New,Oct-23
47,1655637,Turvi Radhakrishnan,Ichalkaranji,Regular,Sep-23
48,1662375,Tanmayi Yohannan,Tiruchirappalli,New,Nov-23
49,1683786,Urvashi Balan,Hajipur,Regular,Sep-23
50,1697604,Arjun Deep,Bongaigaon,Regular,Jul-23
51,1705969,Qasim Kalla,Surat,Premium,May-24
52,1719710,Pushti Sabharwal,Giridih,New,Jun-23
53,1771249,Samesh Devi,Bathinda,New,Apr-23
54,1816969,Tejas Pillai,Vadodara,Premium,Mar-24
55,1855421,Jasmit Kibe,Kadapa,Inactive,Jun-23
56,1989720,Anusha Bahri,Saharanpur,Inactive,Nov-23
57,2058037,Yutika Badal,Rajkot,Inactive,Nov-23
58,2114782,Brinda Jha,Solapur,Premium,May-23
59,2134827,Vasudha Kalita,Ambarnath,New,Oct-23
60,2136830,Bhavya Goswami,Bidhannagar,New,Sep-23
61,2164524,Kamala Natt,Rohtak,Inactive,Apr-23
62,2188994,Bimala Mitra,Patiala,Inactive,Oct-23
63,2219590,Upadhriti Sandhu,Solapur,Regular,Sep-24
64,2233446,Wakeeta Pillay,Panihati,New,Dec-23
65,2234490,Amara Gala,Singrauli,Premium,Aug-24
66,2361575,Aarnav Seth,Faridabad,New,Sep-23
67,2365348,Zashil Varghese,Siwan,Regular,Sep-24
68,2391900,Nisha Gokhale,Bhagalpur,New,Sep-24
69,2400009,Jonathan Korpal,Amaravati,Premium,Feb-24
70,2414265,Ayushman Bala,Sultan Pur Majra,New,Oct-23
71,2442235,Pushti Bhattacharyya,Latur,Premium,May-24
72,2457734,Onkar Garg,Ahmednagar,Premium,May-23
73,2517955,Charan Sharma,Mathura,Regular,Feb-24
74,2558646,Vyanjana Dara,Bhusawal,Premium,Nov-24
75,2566268,Arjun Ratta,Mysore,Premium,Dec-23
76,2584499,Shivansh Tata,Ludhiana,Regular,Sep-24
77,2667357,Nathan Kaul,Guntakal,Premium,Jun-24
78,2684440,Hamsini De,Ranchi,Premium,Sep-23
79,2848415,Anika Raja,Aurangabad,Inactive,Jul-24
80,2875442,Arunima Vyas,Bettiah,Premium,Jul-23
81,2903620,Bahadurjit Rama,Proddatur,New,May-24
82,2928026,Vrishti Basak,Ahmedabad,New,Mar-24
83,3002538,Sanya Sule,Sonipat,Inactive,Jul-24
84,3096845,Yashvi Chander,Guntakal,New,Oct-23
85,3100301,Wazir Saini,Bathinda,New,Jun-23
86,3282647,Warda Pal,Unnao,Premium,Jan-24
87,3292927,Nisha Iyer,Rewa,New,Jan-24
88,3399251,Ekalinga Bhatt,Solapur,New,May-23
89,3408982,Tripti Chakraborty,Bhatpara,Premium,Jul-23
90,3410758,Qabil Salvi,Hazaribagh,Regular,Jul-23
91,3421258,Ishita Chaudhuri,Kota,Premium,Jun-24
92,3468355,Chameli Subramanian,Pune,New,Jun-24
93,3483295,Maya Nath,Imphal,Inactive,Mar-24
94,3491230,Ucchal Chana,Khora,New,Jun-23
95,3588443,Yashica Pingle,Rohtak,Premium,Apr-24
96,3638834,Falan Nayak,Warangal,Premium,Jul-23
