order_key,customer_id,customer_name,area,customer_segment,order_id,order_date,product_id,product_name,category,brand,quantity,unit_price,total_cost,payment_method,delivery_status,delay_reason,rating,feedback_category,sentiment
1,15808945,Vrinda Khurana,Gangtok,New,60465,23-10-2024,361361,Biscuits,Snacks & Munchies,Kunda   Dave and Sahni,2,826.21,1652.42,UPI,Slightly Delayed,Traffic,4,Product Quality,Neutral
2,48281892,Teerth Mukherjee,Vellore,New,2237858,02-04-2023,585299,Pet Treats,Pet Care,Sharma   Chandra and Prashad,1,799.46,799.46,Wallet,Slightly Delayed,Traffic,3,Delivery,Neutral
3,89617089,Kamala Apte,Bidhannagar,New,3101265,23-05-2024,300159,Cola,Cold Drinks & Juices,Basu   Rout and Mistry,1,44.35,44.35,UPI,Slightly Delayed,Traffic,1,Customer Service,Negative
4,44174426,Girindra Nair,Salem,New,5120698,09-06-2023,187399,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,1,53.49,53.49,Wallet,Significantly Delayed,Traffic,5,Delivery,Positive
5,51476157,Abdul Bali,Burhanpur,Inactive,5512907,30-04-2023,659290,Cheese,Dairy & Breakfast,Kapadia-D’Alia,3,319.34,958.02,Wallet,Significantly Delayed,Traffic,3,Customer Service,Negative
6,93127511,Warinder Chandran,Bijapur,Inactive,7550508,20-10-2023,140154,Shampoo,Personal Care,Malhotra LLC,2,171.2,342.4,Card,On Time,Not Applicable,5,Delivery,Positive
7,14479168,Sai Sawhney,Rewa,New,8701796,19-08-2024,672059,Toothpaste,Personal Care,Kaur-Gola,2,672.73,1345.46,Cash,Slightly Delayed,Traffic,3,Customer Service,Neutral
8,31456752,Henry Borah,Thanjavur,Premium,9408428,30-08-2023,124290,Lotion,Personal Care,Sachdev Group,1,39.65,39.65,UPI,On Time,Not Applicable,4,Delivery,Neutral
9,63238941,Vidhi Misra,Gwalior,Regular,10161194,24-12-2023,382511,Butter,Dairy & Breakfast,Bora-Thakkar,1,702.54,702.54,Card,Slightly Delayed,Traffic,3,Product Quality,Neutral
10,90021871,Pooja Dube,Thiruvananthapuram,Regular,10448052,05-08-2023,945635,Pulses,Grocery & Staples,Balasubramanian PLC,2,778.9,1557.8,UPI,Slightly Delayed,Traffic,4,App Experience,Positive
11,78267238,Luke Bala,Warangal,Inactive,11467999,23-04-2023,747801,Toilet Cleaner,Household Care,Saha-Vora,3,277.76,833.28,UPI,Significantly Delayed,Traffic,5,Customer Service,Positive
12,9105829,David Gopal,Begusarai,Regular,14103943,24-11-2023,228286,Cola,Cold Drinks & Juices,Bhattacharyya PLC,1,179.08,179.08,Cash,Significantly Delayed,Traffic,3,Product Quality,Neutral
13,85020453,Hamsini Tripathi,Jaunpur,Premium,15642223,06-11-2023,937542,Wheat Flour,Grocery & Staples,Khurana and Sons,3,97.04,291.12,Cash,Slightly Delayed,Traffic,4,Customer Service,Positive
14,37556526,Anjali Varkey,Farrukhabad,Inactive,16878685,09-04-2024,432617,Baby Wipes,Baby Care,Dora-Pillai,2,863.18,1726.36,Cash,Slightly Delayed,Traffic,4,App Experience,Positive
15,92404798,Gautami Dayal,Jorhat,New,22830983,04-06-2023,890232,Mango Drink,Cold Drinks & Juices,Jha Group,3,432,1296,UPI,Significantly Delayed,Traffic,3,Product Quality,Negative
16,31681710,Udant Prabhakar,Panchkula,Regular,23158044,19-05-2023,669378,Potatoes,Fruits & Vegetables,Chadha and Sons,1,212.14,212.14,UPI,On Time,Not Applicable,4,Delivery,Neutral
17,64562786,Neel Sankar,Firozabad,Inactive,27296314,17-10-2024,313754,Biscuits,Snacks & Munchies,Swaminathan   Mahal and Dara,2,136.6,273.2,UPI,Significantly Delayed,Traffic,5,Product Quality,Positive
18,51503088,Arin More,Kumbakonam,New,32604190,08-12-2023,812607,Potatoes,Fruits & Vegetables,Rege Group,3,416.65,1249.95,Wallet,On Time,Not Applicable,2,Delivery,Negative
19,82594354,Harinakshi Sule,Avadi,Regular,32613017,17-03-2023,451812,Pain Reliever,Pharmacy,Batra   Sant and Mandal,1,530.85,530.85,Card,On Time,Not Applicable,5,Delivery,Positive
20,28205701,Vedika D’Alia,Panvel,Inactive,35135941,29-07-2024,306177,Frozen Biryani,Instant & Frozen Food,Som Inc,1,769.24,769.24,UPI,On Time,Not Applicable,4,App Experience,Neutral
